web_url,snippet,source,keywords,pub_date,word_count,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.organization,title,release_date,budget,revenue,runtime,genres,spoken_languages,production_countries,vote_average,vote_count
https://www.nytimes.com/2023/05/25/movies/the-attachment-diaries-review.html,"A gynecologist and her patient form a horrifyingly twisted connection in this batty, bloody Argentine melodrama.",The New York Times,"{name: subject, value: Movies, rank: 1, major: N}, {name: creative_works, value: The Attachment Diaries (Movie), rank: 2, major: N}, {name: persons, value: Diment, Valentin Javier, rank: 3, major: N}",2023-05-25T11:00:03+0000,295,"‘The Attachment Diaries’ Review: Love, Sick",,,The Attachment Diaries,,,,By Jeannette Catsoulis,,The Attachment Diaries,2021-10-07,0,0,102,"Drama, Mystery, Thriller, Horror",Spanish,Argentina,4.0,2
https://www.nytimes.com/2023/05/04/movies/you-can-live-forever-review.html,Religion comes between two girls falling in love in the 1990s in this sweet coming-of-age film bathed in grunge hues.,The New York Times,"{name: subject, value: Movies, rank: 1, major: N}, {name: creative_works, value: You Can Live Forever (Movie), rank: 2, major: N}, {name: persons, value: Slutsky, Mark, rank: 3, major: N}, {name: persons, value: Watts, Sarah (Film Director), rank: 4, major: N}, {name: persons, value: ""ODriscoll, Anwen"", rank: 5, major: N}, {name: persons, value: Laporte, June (Actor), rank: 6, major: N}",2023-05-04T11:00:08+0000,294,‘You Can Live Forever’ Review: Do You Love Me Now?,,,You Can Live Forever,,,,By Elisabeth Vincentelli,,You Can Live Forever,2022-06-11,0,0,96,"Drama, Romance","French, English",Canada,7.3,38
https://www.nytimes.com/2023/04/13/movies/one-true-loves-movie-review.html,"A film adaptation of Taylor Jenkins Reid’s novel has potential for drama, but it stumbles on stock melodrama.",The New York Times,"{name: subject, value: Movies, rank: 1, major: N}, {name: persons, value: Bracey, Luke (1989- ), rank: 2, major: N}, {name: persons, value: Liu, Simu, rank: 3, major: N}, {name: persons, value: Reid, Taylor Jenkins, rank: 4, major: N}, {name: persons, value: Soo, Phillipa, rank: 5, major: N}, {name: persons, value: Fickman, Andy, rank: 6, major: N}, {name: creative_works, value: One True Loves (Movie), rank: 7, major: N}",2023-04-13T11:00:06+0000,320,‘One True Loves’ Review: A Romance Lost at Sea,,,One True Loves,,,,By Brandon Yu,,One True Loves,2023-04-07,0,37820,100,"Romance, Drama, Comedy",English,"Germany, United States of America",6.813,48
https://www.nytimes.com/2023/04/13/movies/the-lost-weekend-a-love-story-review.html,"There’s not much Lennon music heard in this doc about his affair with May Pang, and given how much Pang trashes his wife, Yoko Ono, it’s no surprise it was withheld.",The New York Times,"{name: subject, value: Documentary Films and Programs, rank: 1, major: N}, {name: creative_works, value: The Lost Weekend: A Love Story (Movie), rank: 2, major: N}, {name: persons, value: Pang, May, rank: 3, major: N}, {name: persons, value: Lennon, John, rank: 4, major: N}, {name: persons, value: Ono, Yoko, rank: 5, major: N}, {name: persons, value: Brandstein, Eve, rank: 6, major: N}, {name: persons, value: Kaufman, Richard S (Filmmaker), rank: 7, major: N}, {name: persons, value: Samuels, Stuart (Filmmaker), rank: 8, major: N}, {name: subject, value: Content Type: Personal Profile, rank: 9, major: N}, {name: subject, value: Pop and Rock Music, rank: 10, major: N}",2023-04-13T11:00:03+0000,327,‘The Lost Weekend: A Love Story’ Review: When John Lennon Strayed,,,The Lost Weekend:  A Love Story,,,,By Glenn Kenny,,The Lost Weekend: A Love Story,2023-04-13,0,0,95,Documentary,English,United States of America,6.0,2
https://www.nytimes.com/2023/03/30/movies/a-thousand-and-one-review.html,"A mesmerizing Teyana Taylor stars in A.V. Rockwell’s feature directing debut, about motherhood and survival in a fast-changing city.",The New York Times,"{name: subject, value: Movies, rank: 1, major: N}, {name: creative_works, value: A Thousand and One (Movie), rank: 2, major: N}, {name: persons, value: Rockwell, AV (Film Director), rank: 3, major: N}, {name: persons, value: Taylor, Teyana (1990- ), rank: 4, major: N}",2023-03-30T18:53:42+0000,971,‘A Thousand and One’ Review: A New York Love Story,Critic’s Pick,,An Unbending Will Meets a Shifting City,,,,By Manohla Dargis,,A Thousand and One,2023-03-31,0,0,116,Drama,English,United States of America,7.0,50
https://www.nytimes.com/2023/02/09/movies/your-place-or-mine-review.html,This humdrum Netflix romantic comedy features Reese Witherspoon and Ashton Kutcher as longtime friends with possibly hidden feelings for each other.,The New York Times,"{name: subject, value: Movies, rank: 1, major: N}, {name: creative_works, value: Your Place or Mine (Movie), rank: 2, major: N}, {name: persons, value: Witherspoon, Reese, rank: 3, major: N}, {name: persons, value: Kutcher, Ashton, rank: 4, major: N}, {name: persons, value: McKenna, Aline Brosh, rank: 5, major: N}",2023-02-10T00:00:05+0000,569,‘Your Place or Mine’ Review: Try Neither,,,They Have a Humdrum Kind of Love,,,,By Amy Nicholson,,Your Place or Mine,2023-02-10,0,0,109,"Romance, Comedy",English,United States of America,6.31,630
https://www.nytimes.com/2023/02/02/movies/love-in-the-time-of-fentanyl-review.html,"To combat the overdose crisis, a group that includes former and current users open a safe consumption site where shooting up does not have to mean death.",The New York Times,"{name: subject, value: Documentary Films and Programs, rank: 1, major: N}, {name: subject, value: Fentanyl, rank: 2, major: N}, {name: subject, value: Drug Abuse and Traffic, rank: 3, major: N}, {name: subject, value: Volunteers and Community Service, rank: 4, major: N}, {name: creative_works, value: Love in the Time of Fentanyl (Movie), rank: 5, major: N}, {name: persons, value: Askey, Colin, rank: 6, major: N}, {name: glocations, value: Vancouver (British Columbia), rank: 7, major: N}, {name: organizations, value: Overdose Prevention Society, rank: 8, major: N}",2023-02-02T12:00:11+0000,306,"‘Love in the Time of Fentanyl’ Review: Heartbreak, Death and Hope in Vancouver",,,Love in the Time Of Fentanyl,,,,By Concepción de León,,Love in the Time of Fentanyl,2023-02-03,0,0,85,Documentary,English,"Canada, United States of America",0.0,0
https://www.nytimes.com/2023/01/19/movies/after-love-review.html,"In this intelligent melodrama by the director Aleem Khan, a British woman discovers her husband has been leading a double life.",The New York Times,"{name: subject, value: Movies, rank: 1, major: N}, {name: creative_works, value: After Love (2020) (Movie), rank: 2, major: N}, {name: persons, value: Khan, Aleem, rank: 3, major: N}, {name: persons, value: Scanlan, Joanna (1961- ), rank: 4, major: N}",2023-01-19T12:00:06+0000,359,‘After Love’ Review: The Other Woman,Critic’s Pick,,After Love,,,,By Beatrice Loayza,,After Love,2021-06-04,0,0,89,Drama,"English, Arabic, French, Urdu",United Kingdom,7.3,90
https://www.nytimes.com/2017/08/08/movies/after-love-review.html,"A couple break up, but remain together, frustratingly, because of the husband’s financial woes.",The New York Times,"{name: subject, value: Movies, rank: 1, major: N}, {name: creative_works, value: After Love (Movie), rank: 2, major: N}, {name: persons, value: Lafosse, Joachim, rank: 3, major: N}, {name: persons, value: Bejo, Berenice, rank: 4, major: N}, {name: persons, value: Kahn, Cedric, rank: 5, major: N}",2017-08-08T19:17:54+0000,274,Review: Staying Together ‘After Love’ and Regretting Every Moment,,,After Love,,,,By Glenn Kenny,,After Love,2021-06-04,0,0,89,Drama,"English, Arabic, French, Urdu",United Kingdom,7.3,90
https://www.nytimes.com/2023/01/05/movies/alcarras-review.html,"In this naturalistic drama from Spain, a family confronts the impending loss of its generations-old farm.",The New York Times,"{name: subject, value: Movies, rank: 1, major: N}, {name: persons, value: Simon, Carla, rank: 2, major: N}, {name: creative_works, value: Alcarras (Movie), rank: 3, major: N}",2023-01-05T12:00:03+0000,306,‘Alcarràs’ Review: Labor of Love,,,Alcarràs,,,,By Devika Girish,,Alcarràs,2022-04-29,0,0,120,Drama,Catalan,Spain,6.908,158
